Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link241,0.0024585,0.024815,-0.00305,0,0,0,0.0045682,7.6285E-07,-8.0631E-08,-8.286E-14,9.4308E-08,2.1637E-13,7.8176E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link241.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link241.STL,,09-1,坐标系27,基准轴27,joint2524,revolute,-0.0079562,0.031614,0.0016,0,0,0,Link25,0,0,-1,0,0,0,0,,,,,,,,
Link31,0.0011553,0.028574,2.6921E-07,0,0,0,0.0069755,1.9953E-06,-1.5665E-08,-3.634E-12,1.464E-07,-3.3854E-11,2.0272E-06,0,0,0,0,0,0,package://handleft9183/meshes/Link31.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link31.STL,,03-9,坐标系31,基准轴31,joint031,revolute,0.00629,-0.054979,-0.023035,-0.1047,-0.0022742,3.12,base_link,0,0,1,0,0,0,0,,,,,,,,
Link32,-3.061E-10,3.4606E-10,-0.011292,0,0,0,0.00030666,1.4483E-08,7.7422E-14,-1.0841E-15,1.4449E-08,8.3301E-16,6.5358E-10,0,0,0,0,0,0,package://handleft9183/meshes/Link32.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link32.STL,,04-6,坐标系32,基准轴32,joint3132,prismatic,0,0.0507,0,-1.5708,1.5685,3.1416,Link31,0,0,-1,0,0,0,0,,,,,,,,
Link33,0.0030737,0.017402,-0.0020499,0,0,0,0.0042405,6.6215E-07,1.8442E-08,-1.0042E-12,2.1167E-07,1.4291E-11,6.9402E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link33.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handleft9183/meshes/Link33.STL,,05-4,坐标系33,基准轴33,joint3233,revolute,-0.00205,0,-0.0244,-1.5708,0.021758,1.5731,Link32,0,0,1,0,0,0,0,,,,,,,,
Link34,-0.0024788,0.016208,-0.0030501,0,0,0,0.0036036,4.3923E-07,-4.1355E-08,-1.2075E-12,7.0315E-08,-3.0761E-12,4.4881E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link34.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link34.STL,,10-1,坐标系34,基准轴34,joint3334,revolute,0.0067937,0.037509,0.001,0,0,0,Link33,0,0,1,0,0,0,0,,,,,,,,
Link331,-0.0012971,0.011934,-0.0059999,0,0,0,0.0042405,6.6215E-07,1.8442E-08,-1.0042E-12,2.1167E-07,1.4291E-11,6.9402E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link331.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handleft9183/meshes/Link331.STL,,05-4,坐标系35,基准轴35,joint033,revolute,0.00028533,-0.13571,-0.025488,-0.10472,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link35,-0.0039265,0.015726,-0.00145,0,0,0,0.00031561,4.8649E-08,1.1992E-08,-8.1994E-25,3.789E-09,-1.3635E-24,5.1996E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link35.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link35.STL,,06-4,坐标系36,基准轴36,joint035,revolute,-0.00546,-0.13044,-0.029509,-0.10472,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link341,0.0021551,0.021455,0.0030499,0,0,0,0.0036036,4.3923E-07,-4.1355E-08,-1.2075E-12,7.0315E-08,-3.0761E-12,4.4881E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link341.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link341.STL,,10-1,坐标系37,基准轴37,joint3534,revolute,-0.0079562,0.031614,-0.0045,0,0,0,Link35,0,0,-1,0,0,0,0,,,,,,,,
Link41,-2.0826E-10,0.022007,-0.0065979,0,0,0,0.0092961,1.5208E-06,-2.5145E-13,1.6919E-15,5.558E-07,8.9659E-08,1.1427E-06,0,0,0,0,0,0,package://handleft9183/meshes/Link41.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://handleft9183/meshes/Link41.STL,,11-1,坐标系41,基准轴41,joint041,revolute,-0.01096,-0.06025,-0.02985,1.5708,0.017281,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link42,-4.8323E-09,-2.1024E-09,-0.011425,0,0,0,0.00016153,7.1494E-09,-2.5979E-16,-5.8508E-15,7.1771E-09,-2.6055E-15,2.337E-10,0,0,0,0,0,0,package://handleft9183/meshes/Link42.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://handleft9183/meshes/Link42.STL,,12-1,坐标系42,基准轴42,joint4142,prismatic,0,0.02708,0,-1.5708,0,3.1416,Link41,0,0,-1,0,0,0,0,,,,,,,,
Link43,-0.0085587,-0.005582,-0.00132,0,0,0,0.0018869,5.5158E-08,-1.1803E-08,4.6743E-09,8.2164E-08,1.3521E-09,6.7434E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link43.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link43.STL,,13-1,坐标系43,基准轴43,joint4243,revolute,0,0.00295,-0.01955,1.5708,-1.5535,3.1416,Link42,0,0,-1,0,0,0,0,,,,,,,,
Link44,-0.021936,0.01279,-0.0080386,0,0,0,0.0066101,1.5692E-06,7.8339E-07,-8.5951E-10,1.7355E-06,-1.0379E-09,2.787E-06,0,0,0,0,0,0,package://handleft9183/meshes/Link44.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link44.STL,,14-1,坐标系44,基准轴44,joint4344,revolute,-0.013664,-0.015018,-0.003,1.5708,0,0.16939,Link43,0,0,-1,0,0,0,0,,,,,,,,
Link45,-0.006773,0.021894,1.2538E-10,0,0,0,0.0092255,1.1303E-06,9.3665E-08,-6.7934E-15,5.5222E-07,2.0346E-13,1.5062E-06,0,0,0,0,0,0,package://handleft9183/meshes/Link45.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://handleft9183/meshes/Link45.STL,,15-1,坐标系45,基准轴45,joint4445,revolute,-0.0083049,-0.0034513,-0.008,-3.1416,0,-2.1326,Link44,0,0,1,0,0,0,0,,,,,,,,
Link46,2.1964E-12,8.6178E-12,-0.01215,0,0,0,0.0001755,8.3384E-09,1.3334E-11,2.215E-18,8.3761E-09,1.0571E-17,2.4209E-10,0,0,0,0,0,0,package://handleft9183/meshes/Link46.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://handleft9183/meshes/Link46.STL,,17-1,坐标系46,基准轴46,joint4546,prismatic,-0.00016567,0.024279,0,-1.5708,0.30756,-3.1348,Link45,0,0,-1,0,0,0,0,,,,,,,,
Link47,-0.0060675,0.011295,0.00099983,0,0,0,0.0037844,3.6981E-07,9.8603E-08,2.8815E-12,3.2395E-07,2.8409E-12,4.6532E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link47.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link47.STL,,18-1,坐标系47,基准轴47,joint4647,revolute,-0.00030273,-0.00095308,-0.0223,-1.5708,-1.0022,-0.30756,Link46,0,0,-1,0,0,0,0,,,,,,,,
Link48,-0.0092888,0.004953,0.0015467,0,0,0,0.003344,1.3632E-07,5.6787E-08,9.1939E-11,1.4052E-07,-1.2145E-10,2.0026E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link48.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link48.STL,,20-1,坐标系48,基准轴48,joint4748,revolute,-0.016763,0.023079,-0.00055,0,0,0,Link47,0,0,-1,0,0,0,0,,,,,,,,
Link49,-0.017737,0.0022319,0.00145,0,0,0,0.00021109,7.9738E-10,2.8747E-09,-9.2799E-24,2.5464E-08,2.289E-24,2.5965E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link49.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link49.STL,,19-1,坐标系49,基准轴49,joint4449,revolute,-0.036109,0.035336,-0.00945,0,0,0,Link44,0,0,1,0,0,0,0,,,,,,,,
Link481,-0.008401,0.010887,0.0015467,0,0,0,0.003344,1.3632E-07,5.6787E-08,9.1939E-11,1.4052E-07,-1.2145E-10,2.0026E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link481.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link481.STL,,20-1,坐标系50,基准轴50,joint4948,revolute,-0.029097,0.003439,-0.0001,0,0,0,Link49,0,0,-1,0,0,0,0,,,,,,,,
Link471,-0.0095531,-0.0016282,0.0071998,0,0,0,0.0037844,3.6981E-07,9.8603E-08,2.8815E-12,3.2395E-07,2.8409E-12,4.6532E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link471.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link471.STL,,18-1,坐标系51,基准轴51,joint4447,revolute,-0.04407,0.034553,-0.0152,0,0,0,Link44,0,0,1,0,0,0,0,,,,,,,,
Link50,-0.023451,0.0093386,0.0123,0,0,0,0.00031643,1.1104E-08,2.5564E-08,-2.2985E-22,6.5483E-08,9.3059E-23,7.6534E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link50.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link50.STL,,16-1,坐标系52,基准轴52,joint4350,revolute,-0.013795,-0.00043185,0.0056933,1.5708,0,0.16939,Link43,0,0,-1,0,0,0,0,,,,,,,,
Link472,0.0085941,0.0053058,0.0072002,0,0,0,0.0037844,3.6981E-07,-9.8603E-08,2.8815E-12,3.2395E-07,-2.8409E-12,4.6532E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link472.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link472.STL,,18-1,坐标系53,基准轴53,joint5047,revolute,-0.047358,0.018925,0.0136,3.1416,0,-3.1416,Link50,0,0,-1,0,0,0,0,,,,,,,,
Link431,0.0048817,-0.00038782,0.00482,0,0,0,0.0018869,5.5158E-08,1.1803E-08,4.6743E-09,8.2164E-08,-1.3521E-09,6.7434E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link431.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link431.STL,,13-1,坐标系54,基准轴54,joint043,revolute,-0.01696,-0.0667,0.02045,1.5708,-1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
